,Accuracy,k value
0,0.607628205128,1
1,0.650448717949,3
2,0.668333333333,5
3,0.670833333333,7
4,0.680833333333,9
5,0.695961538462,11
6,0.698461538462,13
7,0.693333333333,15
8,0.693525641026,17
9,0.698653846154,19
