,Accuracy,k value
0,0.597564102564,1
1,0.668269230769,3
2,0.675641025641,5
3,0.680576923077,7
4,0.696282051282,9
5,0.688717948718,11
6,0.685961538462,13
7,0.685833333333,15
8,0.678141025641,17
9,0.678205128205,19
