,Manhattan Accuracy,SD,k value
0,0.607628205128,0.0469084063517,1
1,0.650448717949,0.0730038152075,3
2,0.668333333333,0.052802928365,5
3,0.670833333333,0.0512614141168,7
4,0.680833333333,0.0510985901037,9
5,0.695961538462,0.0468326594882,11
6,0.698461538462,0.0416806682589,13
7,0.693333333333,0.0451340322578,15
8,0.693525641026,0.0252102435011,17
9,0.698653846154,0.0312771249799,19
