,Accuracy,k value
0,0.602243589744,1
1,0.6275,3
2,0.655320512821,5
3,0.657948717949,7
4,0.662820512821,9
5,0.652820512821,11
6,0.660641025641,13
7,0.668012820513,15
8,0.665512820513,17
9,0.652820512821,19
